City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
2,Hithadhoo,MV,81.97,broken clouds,-0.6,73.0833,Scoop Guest House
8,Rikitea,PF,77.76,overcast clouds,-23.1203,-134.9692,Pension Maro'i
9,Mataura,NZ,78.93,clear sky,-46.1927,168.8643,Ellie's Villa
13,Mudgee,AU,90.0,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
16,Aracataca,CO,75.99,broken clouds,10.5918,-74.1898,Hostal de los buendia
22,Bundaberg,AU,86.0,scattered clouds,-24.85,152.35,Takalvan Motel
24,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
35,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
40,Butaritari,KI,81.52,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
53,Lorengau,PG,85.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
55,Banda Aceh,ID,80.02,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
57,Airai,TL,75.22,overcast clouds,-8.9266,125.4092,Juvinal Martin
64,Marawi,PH,79.56,overcast clouds,7.9986,124.2928,Derogongan Residence
65,Kulhudhuffushi,MV,80.04,moderate rain,6.6221,73.07,Haajy Guest House 1
71,Hilo,US,80.6,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Porto Velho,BR,75.2,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
80,Atuona,PF,77.83,few clouds,-9.8,-139.0333,Villa Enata
86,Arraial Do Cabo,BR,75.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
88,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
89,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
92,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
96,Mahebourg,MU,75.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
98,Laguna De Perlas,NI,75.99,broken clouds,12.3429,-83.6712,Hotel Best View
101,Kiunga,PG,90.41,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
111,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
112,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Calabozo,VE,77.38,overcast clouds,8.9242,-67.4293,Hotel Giardini
123,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
128,Monrovia,LR,77.0,broken clouds,6.3005,-10.7969,Sunset Inn
135,Fare,PF,81.54,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
139,Salinopolis,BR,79.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
145,Caucasia,CO,77.14,light rain,7.9865,-75.1935,Hotel San Rafael
147,Maputo,MZ,78.01,light rain,-25.9653,32.5892,Pestana Rovuma
148,Vila Velha,BR,77.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
152,Pangkalanbuun,ID,79.57,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
154,Padang,ID,82.94,broken clouds,-0.9492,100.3543,Mercure Padang
155,Sao Joao Da Barra,BR,76.08,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
166,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
169,Nabire,ID,83.59,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
170,Te Anau,NZ,75.97,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
171,Kloulklubed,PW,84.2,light rain,7.0419,134.2556,Storyboard Beach Resort
173,Nelson Bay,AU,88.0,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
174,Isangel,VU,87.8,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
181,Kavieng,PG,85.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
190,Conde,BR,77.0,few clouds,-7.2597,-34.9075,Pousada Beija Flor
194,Panama City,PA,78.8,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
205,Fayaoue,NC,76.39,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
206,Kalmunai,LK,77.16,overcast clouds,7.4167,81.8167,VS Villa
208,Tamandare,BR,77.49,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
213,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
214,Axim,GH,78.55,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
215,Katherine,AU,91.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
216,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
223,Ko Samui,TH,75.2,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
225,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
231,Acarau,BR,78.44,light rain,-2.8856,-40.12,castelo pizzaria
233,Caravelas,BR,75.09,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
235,Miragoane,HT,77.63,scattered clouds,18.4423,-73.0876,MMM K-TICHON
239,Flinders,AU,89.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
240,Muli,MV,81.95,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
246,Samarai,PG,85.17,moderate rain,-10.6167,150.6667,Nuli Sapi
248,North Shore,NZ,81.0,clear sky,-36.8,174.75,Poenamo Hotel
255,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
258,Vao,NC,77.27,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
265,Bacolod,PH,81.28,broken clouds,10.6667,122.95,Planta Hotel & Residences
269,Ipixuna,BR,75.2,light rain,-1.7625,-48.8043,Casa da Oscarina
271,Saint-Leu,RE,78.8,overcast clouds,-21.15,55.2833,La Caz Oceane
272,Quelimane,MZ,75.2,light rain,-17.8786,36.8883,Hotel Flamingo
275,Hervey Bay,AU,84.99,clear sky,-25.2986,152.8535,Shelly Bay Resort
283,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
284,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
291,Bubaque,GW,77.49,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Labuhan,ID,81.25,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
299,Poum,NC,82.67,moderate rain,-20.2333,164.0167,Gîte kajeon
