City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description
0,Norilsk,RU,69.3535,88.2027,-32.37,79,37,7.05,scattered clouds
1,Camacupa,AO,-12.0167,17.4833,60.84,84,100,4.25,overcast clouds
2,Hithadhoo,MV,-0.6,73.0833,81.97,74,66,21.23,broken clouds
3,Pevek,RU,69.7008,170.3133,-18.4,88,99,0.94,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,51.8,76,40,4.61,light rain
5,Primo Tapia,MX,32.22,-116.9172,62.6,77,75,6.91,mist
6,Solnechnyy,RU,50.7214,136.6319,-4.16,85,100,5.64,overcast clouds
7,Albany,US,42.6001,-73.9662,33.01,71,100,2.89,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,77.76,76,92,12.82,overcast clouds
9,Mataura,NZ,-46.1927,168.8643,78.93,42,10,3.51,clear sky
10,Ribeira Grande,PT,38.5167,-28.7,62.55,84,99,18.5,overcast clouds
11,Torbay,CA,47.6666,-52.7314,30,86,90,4.61,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,53.6,71,90,11.5,overcast clouds
13,Mudgee,AU,-32.5943,149.5871,90,32,0,11.5,clear sky
14,Santa Maria,BR,-29.6842,-53.8069,68,77,40,6.91,scattered clouds
15,Nome,US,64.5011,-165.4064,17.6,93,90,11.5,mist
16,Aracataca,CO,10.5918,-74.1898,75.99,82,52,0.72,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,68,83,100,12.66,overcast clouds
18,East London,ZA,-33.0153,27.9116,72.9,92,100,14.81,light rain
19,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,75,11.88,broken clouds
20,Port Elizabeth,ZA,-33.918,25.5701,69.8,88,90,9.22,overcast clouds
21,Lebu,CL,-37.6167,-73.65,54.48,86,0,14.83,clear sky
22,Bundaberg,AU,-24.85,152.35,86,48,40,12.66,scattered clouds
23,Severo-Kurilsk,RU,50.6789,156.125,21.81,82,29,3.51,scattered clouds
24,Kahului,US,20.8947,-156.47,82.4,57,40,10.36,scattered clouds
25,Westport,US,41.1415,-73.3579,36,69,1,3.44,clear sky
26,Northam,GB,51.0333,-4.2167,50,100,100,8.99,light rain
27,Gwadar,PK,25.1216,62.3254,63.97,28,0,5.01,clear sky
28,Cape Town,ZA,-33.9258,18.4232,69.8,78,0,12.66,clear sky
29,Kruisfontein,ZA,-34.0033,24.7314,70,91,100,3,overcast clouds
30,Jamestown,US,42.097,-79.2353,37,75,1,8.05,clear sky
31,Busselton,AU,-33.65,115.3333,70,48,100,8.01,overcast clouds
32,Dikson,RU,73.5069,80.5464,-29.02,84,0,7.43,clear sky
33,Klaksvik,FO,62.2266,-6.589,39.2,81,20,24.16,few clouds
34,Turayf,SA,31.6725,38.6637,50,62,0,11.5,clear sky
35,Kapaa,US,22.0752,-159.319,77,78,20,19.57,light rain
36,New Norfolk,AU,-42.7826,147.0587,73,50,61,4,broken clouds
37,Bluff,NZ,-46.6,168.3333,61.3,79,8,5.12,clear sky
38,Puerto Leguizamo,CO,-0.1934,-74.7819,72.41,85,100,0.4,overcast clouds
39,Hamilton,US,39.1834,-84.5333,42.01,65,1,4.61,clear sky
40,Butaritari,KI,3.0707,172.7902,81.52,77,46,18.84,scattered clouds
41,Zhangjiakou,CN,40.81,114.8794,19.92,85,100,5.99,overcast clouds
42,San Cristobal,VE,7.7669,-72.225,63.5,85,100,1.88,overcast clouds
43,Myanaung,MM,18.2833,95.3167,69.62,64,0,2.13,clear sky
44,Pueblo,US,38.2545,-104.6091,57.2,28,1,21.85,clear sky
45,Port Hardy,CA,50.6996,-127.4199,42.8,93,75,3.44,broken clouds
46,Sorland,NO,67.667,12.6934,35.06,85,87,3.47,overcast clouds
47,Yerbogachen,RU,61.2767,108.0108,-15.68,87,100,10.56,light snow
48,Biltine,TD,14.5333,20.9167,64.72,27,0,10.16,clear sky
49,Ushtobe,KZ,45.2514,77.9838,0.88,93,100,6.17,overcast clouds
50,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,84,75,3.02,light snow
51,Artemisa,CU,22.814,-82.7561,71.6,94,75,9.22,broken clouds
52,Belaya Gora,RU,68.5333,146.4167,-34.2,82,100,3.36,overcast clouds
53,Lorengau,PG,-2.0226,147.2712,85.96,66,91,8.93,overcast clouds
54,Hermanus,ZA,-34.4187,19.2345,71.01,85,66,7,broken clouds
55,Banda Aceh,ID,5.5577,95.3222,80.02,78,81,9.91,broken clouds
56,Richards Bay,ZA,-28.783,32.0377,72.73,89,85,3.29,overcast clouds
57,Airai,TL,-8.9266,125.4092,75.22,75,100,1.66,overcast clouds
58,Hobart,AU,-42.8794,147.3294,72,42,75,9.22,broken clouds
59,Taltal,CL,-25.4,-70.4833,64.47,75,12,1.79,few clouds
60,Pavlovsk,RU,50.4578,40.1081,31.48,97,100,13.33,overcast clouds
61,Haimen,CN,23.1935,116.6142,51.8,58,0,2.24,haze
62,Ukiah,US,39.1502,-123.2078,57.99,94,1,2.35,clear sky
63,Kandry,RU,54.5667,54.1167,-1.73,90,100,9.44,overcast clouds
64,Marawi,PH,7.9986,124.2928,79.56,72,100,1.86,overcast clouds
65,Kulhudhuffushi,MV,6.6221,73.07,80.04,78,100,8.3,moderate rain
66,Abu Kamal,SY,34.4506,40.9171,59.68,33,100,13.38,overcast clouds
67,Cidreira,BR,-30.1811,-50.2056,70.65,72,21,15.73,few clouds
68,Rorvik,NO,64.8621,11.2373,20.91,90,0,9.44,clear sky
69,Port Said,EG,31.2565,32.2841,57.2,88,40,10.36,scattered clouds
70,Barranca,PE,-10.75,-77.7667,69.85,86,100,5.08,overcast clouds
71,Hilo,US,19.7297,-155.09,80.6,61,20,3.44,few clouds
72,Tiksi,RU,71.6872,128.8694,-31.65,82,100,3.47,overcast clouds
73,Porto Velho,BR,-8.7619,-63.9039,75.2,94,75,2.3,light rain
74,Bolobo,CD,-2.1667,16.2333,70.72,93,92,5.44,moderate rain
75,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.61,61,0,9.95,clear sky
76,Bembereke,BJ,10.2283,2.6634,65.43,23,0,5.01,clear sky
77,Lerwick,GB,60.1545,-1.1494,39.2,65,40,18.41,scattered clouds
78,Fairbanks,US,64.8378,-147.7164,-4,77,75,5.75,broken clouds
79,Houston,US,29.7633,-95.3633,53.6,50,1,8.05,clear sky
80,Atuona,PF,-9.8,-139.0333,77.83,77,17,14.9,few clouds
81,Caala,AO,-12.8525,15.5606,56.32,84,100,4.05,overcast clouds
82,Lagoa,PT,39.05,-27.9833,60.53,91,74,18.45,broken clouds
83,Emilio Carranza,MX,19.9711,-96.6114,62.26,72,58,7.67,broken clouds
84,Christchurch,NZ,-43.5333,172.6333,73.4,60,9,8.05,clear sky
85,Zhigansk,RU,66.7697,123.3711,-40.18,80,88,11.83,overcast clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,75.96,89,22,18.88,few clouds
87,Camacha,PT,33.0833,-16.3333,57.2,67,20,10.36,few clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,75.99,92,90,7,overcast clouds
89,Vaini,TO,-21.2,-175.2,86,79,40,8.05,scattered clouds
90,Nishihara,JP,26.1842,127.7558,66.2,39,75,10.36,broken clouds
91,Chokurdakh,RU,70.6333,147.9167,-27.78,86,100,6.33,overcast clouds
92,Mana,GF,5.6592,-53.7767,77.14,86,100,11.68,overcast clouds
93,Kaitangata,NZ,-46.2817,169.8464,64,79,38,15.99,scattered clouds
94,Codrington,AU,-38.2667,141.9667,66.13,61,93,11.79,overcast clouds
95,Valparaiso,CL,-33.0393,-71.6273,57.2,88,75,4.61,broken clouds
96,Mahebourg,MU,-20.4081,57.7,75.2,94,40,5.75,scattered clouds
97,Kodiak,US,57.79,-152.4072,32,86,75,4.61,broken clouds
98,Laguna De Perlas,NI,12.3429,-83.6712,75.99,87,74,10.47,broken clouds
99,Pisco,PE,-13.7,-76.2167,69.8,83,0,13.8,clear sky
100,Asmara,ER,15.3333,38.9333,48.99,78,3,0.47,clear sky
101,Kiunga,PG,-6.1219,141.2906,90.41,59,94,0.74,overcast clouds
102,Schenectady,US,42.8334,-74.0829,32,74,1,3.09,clear sky
103,Thompson,CA,55.7435,-97.8558,26.6,100,90,4.61,overcast clouds
104,Katsuura,JP,35.1333,140.3,50,62,20,6.91,few clouds
105,Kushiro,JP,42.975,144.3747,35.6,87,75,16.11,broken clouds
106,Yellowknife,CA,62.456,-114.3525,12.2,92,75,10.36,light snow
107,Folldal,NO,62.1325,9.9968,7.18,81,0,1.95,clear sky
108,Bay Roberts,CA,47.5999,-53.2648,28.99,88,45,3.83,scattered clouds
109,Fairview,US,40.8126,-73.999,41,56,75,4.61,broken clouds
110,Port Alfred,ZA,-33.5906,26.891,66.99,97,100,1.99,light rain
111,Bambous Virieux,MU,-20.3428,57.7575,77,94,40,5.75,scattered clouds
112,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,90,13.33,light rain
113,Surt,LY,31.2089,16.5887,56.97,71,33,22.37,scattered clouds
114,Calabozo,VE,8.9242,-67.4293,77.38,56,94,5.61,overcast clouds
115,Saskylakh,RU,71.9167,114.0833,-45.27,75,63,9.93,broken clouds
116,Barrow,US,71.2906,-156.7887,-9.4,77,1,17.27,clear sky
117,Atbasar,KZ,51.8,68.3333,-16.74,84,0,4.85,clear sky
118,Grenada,ES,37.1882,-3.6067,35.01,93,0,1.14,clear sky
119,Qaqortoq,GL,60.7167,-46.0333,28.4,86,90,3.44,light snow
120,Kjollefjord,NO,70.9457,27.3465,31.17,97,100,18.07,snow
121,Castro,BR,-24.7911,-50.0119,64.47,94,96,9.19,overcast clouds
122,Cascais,PT,38.6979,-9.4215,50,88,0,10.13,clear sky
123,Georgetown,MY,5.4112,100.3354,78.8,88,20,2.3,few clouds
124,Komsomolskiy,UZ,40.4272,71.7189,26.6,80,0,4.61,mist
125,Oyama,JP,36.3,139.8,50,46,20,8.05,few clouds
126,Marsaxlokk,MT,35.8419,14.5431,57,87,20,6.91,few clouds
127,Girona,ES,41.9831,2.8249,41,93,0,2.48,clear sky
128,Monrovia,LR,6.3005,-10.7969,77,100,75,4.63,broken clouds
129,Arthur,US,39.7148,-88.4723,43,78,100,5.01,overcast clouds
130,Hudson Bay,CA,52.85,-102.3842,33.76,97,100,1.61,overcast clouds
131,Mechetinskaya,RU,46.7713,40.456,35.17,87,100,9.15,snow
132,Marsabit,KE,2.3284,37.9899,65.16,53,2,5.14,clear sky
133,Tocopilla,CL,-22.092,-70.1979,67.95,64,46,7.54,scattered clouds
134,Berlevag,NO,70.8578,29.0864,23.61,95,100,24.38,overcast clouds
135,Fare,PF,-16.7,-151.0167,81.54,75,74,15.7,light rain
136,Vanavara,RU,60.34,102.2797,-7.83,89,100,11.14,overcast clouds
137,Umm Lajj,SA,25.0213,37.2685,73.98,35,26,6.33,scattered clouds
138,Santa Cruz De La Palma,ES,28.6835,-17.7642,62.6,67,90,6.91,overcast clouds
139,Salinopolis,BR,-0.6136,-47.3561,79.07,85,91,11.5,overcast clouds
140,Provideniya,RU,64.3833,-173.3,5,72,75,6.71,broken clouds
141,Boromo,BF,11.75,-2.9333,71.15,19,0,7.65,clear sky
142,Teya,RU,60.3778,92.6267,-11.49,86,100,9.37,light snow
143,Santiago De Cuba,CU,20.0247,-75.8219,73.4,94,20,5.75,few clouds
144,Madimba,TZ,-10.4,40.3333,78.49,87,8,8.37,light rain
145,Caucasia,CO,7.9865,-75.1935,77.14,88,100,5.68,light rain
146,Vila Franca Do Campo,PT,37.7167,-25.4333,61,94,75,12.66,broken clouds
147,Maputo,MZ,-25.9653,32.5892,78.01,88,20,4.61,light rain
148,Vila Velha,BR,-20.3297,-40.2925,77,83,20,3.44,light rain
149,Pasca,CO,4.3072,-74.3006,55.4,88,40,2.3,scattered clouds
150,Victoria,HK,22.2855,114.1577,61,54,53,5.46,broken clouds
151,Upernavik,GL,72.7868,-56.1549,10.83,96,100,17.98,overcast clouds
152,Pangkalanbuun,ID,-2.6833,111.6167,79.57,88,100,4.18,moderate rain
153,Akhtanizovskaya,RU,45.32,37.1,33.8,80,100,8.95,overcast clouds
154,Padang,ID,-0.9492,100.3543,82.94,62,74,2.64,broken clouds
155,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.08,87,0,13.13,clear sky
156,Wasilla,US,61.5814,-149.4394,30.2,59,75,6.91,broken clouds
157,Laguna,US,38.421,-121.4238,61,77,1,11.5,haze
158,Sakakah,SA,29.9697,40.2064,57.2,38,0,12.66,clear sky
159,Naze,JP,28.3667,129.4833,62.6,51,40,11.5,scattered clouds
160,Tuatapere,NZ,-46.1333,167.6833,65.12,70,34,9.57,scattered clouds
161,Khatanga,RU,71.9667,102.5,-35.14,82,97,12.64,overcast clouds
162,Ibra,OM,22.6906,58.5334,48.25,77,0,1.63,clear sky
163,Nikolskoye,RU,59.7035,30.7861,6.8,78,20,8.95,light snow
164,Ahipara,NZ,-35.1667,173.1667,72.37,64,10,6.2,clear sky
165,Inuvik,CA,68.3499,-133.7218,-16.6,76,56,2.19,broken clouds
166,Avarua,CK,-21.2078,-159.775,84.2,74,90,17.27,overcast clouds
167,Vostok,RU,46.4856,135.8833,0.32,90,100,6.55,snow
168,Abong Mbang,CM,3.9833,13.1833,66.49,80,98,3.4,overcast clouds
169,Nabire,ID,-3.3667,135.4833,83.59,78,100,1.74,moderate rain
170,Te Anau,NZ,-45.4167,167.7167,75.97,41,1,4.14,clear sky
171,Kloulklubed,PW,7.0419,134.2556,84.2,79,90,8.05,light rain
172,Qaanaaq,GL,77.484,-69.3632,-2.9,78,0,4,clear sky
173,Nelson Bay,AU,-32.7167,152.15,88,54,40,6.91,scattered clouds
174,Isangel,VU,-19.55,169.2667,87.8,79,75,9.22,broken clouds
175,Marsh Harbour,BS,26.5412,-77.0636,72.93,74,100,8.1,overcast clouds
176,Bethel,US,41.3712,-73.414,33.01,80,1,4.61,clear sky
177,Azul,AR,-36.777,-59.8585,66.99,48,50,8.99,scattered clouds
178,Dandong,CN,40.1292,124.3947,23.77,75,0,5.5,clear sky
179,Ndende,GA,-2.4008,11.3581,69.98,96,99,1.28,overcast clouds
180,Hovd,MN,48.0056,91.6419,2.61,75,100,7.34,overcast clouds
181,Kavieng,PG,-2.5744,150.7967,85.41,69,52,13.31,broken clouds
182,Deer Lake,CA,49.1667,-57.4316,28.4,86,90,2.3,light snow
183,Caxito,AO,-8.5785,13.6643,75.2,88,40,6.91,scattered clouds
184,Garowe,SO,8.4054,48.4845,62.69,78,1,8.84,clear sky
185,Aldan,RU,58.6031,125.3894,-28.35,78,29,1.92,scattered clouds
186,Gillette,US,44.2911,-105.5022,39.99,28,75,36.82,broken clouds
187,Leningradskiy,RU,69.3833,178.4167,-9.09,90,100,5.82,light snow
188,Ust-Omchug,RU,61.15,149.6333,-24.36,82,99,3.22,overcast clouds
189,Rio Grande,BR,-32.035,-52.0986,68,70,0,1.99,clear sky
190,Conde,BR,-7.2597,-34.9075,77,88,20,3.44,few clouds
191,Taldan,RU,53.6667,124.8,-16.53,83,59,3.18,broken clouds
192,Bosaso,SO,11.2842,49.1816,70.09,74,8,2.01,clear sky
193,Bakel,SN,14.905,-12.4568,73.62,20,0,10.11,clear sky
194,Panama City,PA,8.9936,-79.5197,78.8,83,90,6.91,overcast clouds
195,Beloha,MG,-25.1667,45.05,72.84,97,13,5.77,few clouds
196,Merauke,ID,-8.4667,140.3333,86.59,68,98,6.58,light rain
197,Durgapur,IN,23.4833,87.3167,53.6,94,0,2.62,fog
198,Sa Kaeo,TH,13.75,102.3333,72.5,43,0,4.43,clear sky
199,Half Moon Bay,US,37.4636,-122.4286,61,94,75,9.22,mist
200,Norman Wells,CA,65.282,-126.8329,3.2,85,75,17.27,light snow
201,Flin Flon,CA,54.7682,-101.865,25.52,98,100,8.21,overcast clouds
202,Batagay-Alyta,RU,67.8006,130.4114,-41.12,71,1,1.19,clear sky
203,Hay River,CA,60.8156,-115.7999,19.4,93,100,17.27,light snow
204,Semypolky,UA,50.7167,30.9333,28,86,90,2.24,light snow
205,Fayaoue,NC,-20.65,166.5333,76.39,91,100,11.68,light rain
206,Kalmunai,LK,7.4167,81.8167,77.16,88,99,0.92,overcast clouds
207,Linfen,CN,36.0889,111.5189,39.94,54,0,1.41,clear sky
208,Tamandare,BR,-8.7597,-35.1047,77.49,78,100,7.87,overcast clouds
209,Talcahuano,CL,-36.7167,-73.1167,57.2,72,0,13.8,clear sky
210,Oda,JP,35.1833,132.5,53.6,54,20,9.22,few clouds
211,Ostersund,SE,63.1792,14.6357,6.8,92,90,2.3,light snow
212,Beringovskiy,RU,63.05,179.3167,-10.82,89,100,9.73,overcast clouds
213,Faanui,PF,-16.4833,-151.75,81.73,75,100,16.55,light rain
214,Axim,GH,4.8699,-2.2405,78.55,85,100,6.82,overcast clouds
215,Katherine,AU,-14.4667,132.2667,91.4,55,99,4.61,overcast clouds
216,Tautira,PF,-17.7333,-149.15,87.8,58,40,11.5,scattered clouds
217,Deputatskiy,RU,69.3,139.9,-36.4,82,87,1.52,overcast clouds
218,San Quintin,MX,30.4833,-115.95,61.16,38,0,5.19,clear sky
219,Eyl,SO,7.9803,49.8164,70.79,75,9,17.94,clear sky
220,Klamath Falls,US,42.2249,-121.7817,44.6,57,1,3.44,clear sky
221,Kabardinka,RU,44.6514,37.9428,42.01,87,100,5.84,light rain
222,Angoram,PG,-4.0625,144.0661,88.14,67,99,2.89,light rain
223,Ko Samui,TH,9.5357,99.9357,75.2,83,20,7.43,few clouds
224,Colares,PT,38.7992,-9.4469,50,88,0,10,clear sky
225,Quatre Cocos,MU,-20.2078,57.7625,77,94,40,5.75,scattered clouds
226,Orlik,RU,52.5178,99.825,-19.3,77,30,2.62,scattered clouds
227,Shingu,JP,33.7333,135.9833,51.8,58,20,4.61,few clouds
228,Ilo,PE,-17.6394,-71.3375,69.51,75,99,4.63,overcast clouds
229,Boffa,GN,10.1667,-14.0333,72.07,89,0,2.8,clear sky
230,Tasiilaq,GL,65.6145,-37.6368,32,86,75,28.77,snow
231,Acarau,BR,-2.8856,-40.12,78.44,81,100,12.41,light rain
232,Salalah,OM,17.0151,54.0924,71.6,30,0,9.22,clear sky
233,Caravelas,BR,-17.7125,-39.2481,75.09,84,0,5.17,clear sky
234,Nizhneangarsk,RU,55.7833,109.55,-12.32,81,96,2.75,overcast clouds
235,Miragoane,HT,18.4423,-73.0876,77.63,65,46,3.6,scattered clouds
236,Lavrentiya,RU,65.5833,-171,-1.5,91,100,4.7,overcast clouds
