City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Portsmouth,GB,2020-06-27 19:08:42,50.8,-1.09,61.0,82,88,7.0
1,Erzin,TR,2020-06-27 19:10:28,36.96,36.2,77.0,89,0,0.87
2,Carutapera,BR,2020-06-27 19:10:29,-1.2,-46.02,80.44,89,23,6.58
3,Port Hawkesbury,CA,2020-06-27 19:05:39,45.62,-61.35,77.0,69,1,12.75
4,Half Moon Bay,US,2020-06-27 19:07:50,37.46,-122.43,73.99,72,20,6.93
5,Hermanus,ZA,2020-06-27 19:07:21,-34.42,19.23,55.99,82,76,3.0
6,Paciran,ID,2020-06-27 19:10:30,-6.88,112.38,76.5,83,63,6.04
7,Rikitea,PF,2020-06-27 19:10:30,-23.12,-134.97,71.91,70,10,14.99
8,Kaitangata,NZ,2020-06-27 19:07:25,-46.28,169.85,50.0,92,100,4.0
9,Busselton,AU,2020-06-27 19:07:19,-33.65,115.33,61.0,73,100,23.87
10,Tuktoyaktuk,CA,2020-06-27 19:10:31,69.45,-133.04,37.4,93,90,24.16
11,Ushuaia,AR,2020-06-27 19:10:31,-54.8,-68.3,37.4,64,75,19.46
12,Bethel,US,2020-06-27 19:10:31,41.37,-73.41,69.01,94,90,3.36
13,Port Alfred,ZA,2020-06-27 19:07:22,-33.59,26.89,66.88,39,92,24.47
14,Avarua,CK,2020-06-27 19:10:31,-21.21,-159.78,71.6,64,100,10.29
15,Saint-Philippe,RE,2020-06-27 19:07:20,-21.36,55.77,69.8,77,20,4.7
16,Victoria,HK,2020-06-27 19:10:08,22.29,114.16,84.0,74,89,5.99
17,Sao Felix Do Xingu,BR,2020-06-27 19:10:32,-6.64,-51.99,88.27,48,28,4.16
18,Taoudenni,ML,2020-06-27 19:10:32,22.68,-3.98,107.37,6,0,10.74
19,Cislau,RO,2020-06-27 19:10:33,45.25,26.37,80.6,44,40,4.7
20,Salalah,OM,2020-06-27 19:10:33,17.02,54.09,84.2,83,75,9.17
21,Atuona,PF,2020-06-27 19:10:33,-9.8,-139.03,79.74,74,0,13.04
22,Biltine,TD,2020-06-27 19:10:33,14.53,20.92,89.06,35,99,10.18
23,Tocopilla,CL,2020-06-27 19:10:33,-22.09,-70.2,66.7,51,11,5.64
24,Thompson,CA,2020-06-27 19:10:34,55.74,-97.86,71.6,56,90,5.82
25,Itapirapua,BR,2020-06-27 19:10:34,-15.82,-50.61,88.09,30,5,4.14
26,Pevek,RU,2020-06-27 19:10:34,69.7,170.31,32.49,97,57,19.71
27,Bluff,NZ,2020-06-27 19:10:34,-46.6,168.33,39.0,83,100,3.0
28,Bombay,IN,2020-06-27 19:10:15,19.01,72.85,86.0,84,40,5.82
29,Tautira,PF,2020-06-27 19:10:35,-17.73,-149.15,80.6,65,75,1.12
30,Hilo,US,2020-06-27 19:10:35,19.73,-155.09,80.6,65,20,8.05
31,Pierre,US,2020-06-27 19:10:35,44.37,-100.35,90.0,48,75,14.99
32,Shieli,KZ,2020-06-27 19:10:36,44.17,66.75,57.43,40,0,7.34
33,Chokurdakh,RU,2020-06-27 19:10:36,70.63,147.92,52.2,44,100,11.56
34,Kyren,RU,2020-06-27 19:10:36,51.68,102.14,60.55,54,0,3.83
35,East London,ZA,2020-06-27 19:10:37,-33.02,27.91,67.95,29,0,11.45
36,Upernavik,GL,2020-06-27 19:07:30,72.79,-56.15,39.49,82,13,7.07
37,Zaoyang,CN,2020-06-27 19:10:37,32.13,112.75,74.64,95,100,11.86
38,Mataura,NZ,2020-06-27 19:10:37,-46.19,168.86,39.0,83,100,3.0
39,Vostok,RU,2020-06-27 19:07:48,46.49,135.88,49.33,100,100,2.44
40,Viedma,AR,2020-06-27 19:10:38,-40.81,-63.0,47.64,53,81,5.23
41,Fortuna,US,2020-06-27 19:07:51,40.6,-124.16,60.01,100,90,11.41
42,Yumen,CN,2020-06-27 19:10:38,40.28,97.2,61.11,50,0,3.29
43,Ahuimanu,US,2020-06-27 19:10:39,21.44,-157.84,82.4,74,20,8.05
44,La Sarre,CA,2020-06-27 19:10:39,48.8,-79.2,66.52,81,92,2.46
45,Bilma,NE,2020-06-27 19:10:39,18.69,12.92,92.64,10,93,10.71
46,Husavik,IS,2020-06-27 19:10:39,66.04,-17.34,46.4,93,90,4.7
47,Makakilo City,US,2020-06-27 19:07:56,21.35,-158.09,82.0,69,90,4.7
48,Saskylakh,RU,2020-06-27 19:10:40,71.92,114.08,50.92,70,37,7.18
49,Kloulklubed,PW,2020-06-27 19:10:40,7.04,134.26,77.0,94,90,5.82
50,Ngunguru,NZ,2020-06-27 19:10:41,-35.62,174.5,52.0,93,0,4.0
51,Honningsvag,NO,2020-06-27 19:10:41,70.98,25.97,44.89,87,99,15.14
52,Dikson,RU,2020-06-27 19:10:41,73.51,80.55,44.62,82,0,8.41
53,Puerto Ayora,EC,2020-06-27 19:10:41,-0.74,-90.35,80.6,57,51,23.04
54,Georgetown,MY,2020-06-27 19:06:20,5.41,100.34,82.4,94,20,2.71
55,Port Elizabeth,ZA,2020-06-27 19:10:22,-33.92,25.57,59.0,82,100,31.09
56,Hithadhoo,MV,2020-06-27 19:10:42,-0.6,73.08,84.83,73,44,8.19
57,Hambantota,LK,2020-06-27 19:10:42,6.12,81.12,78.8,88,24,5.82
58,Korla,CN,2020-06-27 19:10:42,41.76,86.15,84.0,73,92,3.0
59,Verkhnevilyuysk,RU,2020-06-27 19:10:43,63.45,120.32,64.71,60,93,1.03
60,Portland,US,2020-06-27 19:08:27,45.52,-122.68,68.0,59,75,8.05
61,Kamina,CD,2020-06-27 19:10:43,-8.74,24.99,67.48,46,96,2.57
